Assay Catagories	CARMEN-Annotations	DeepSEA	DeepSEA-Downsampling
Histone Markers	0.892104684	0.053476429	0.879237459
Histone Markers	0.816855927	0.216627426	0.957480054
Histone Markers	0.819981206	0.055475081	0.794646077
Histone Markers	0.902653148	0.321930986	0.948684849
Histone Markers	0.935456632	0.526910008	0.90632397
Histone Markers	0.91397157	0.161410345	0.886615388
Histone Markers	0.914222006	0.232929784	0.808785816
Histone Markers	0.875996143	0.055712083	0.78461478
Histone Markers	0.882120912	0.141154155	0.759106413
Histone Markers	0.919663578	0.347777833	0.779316071
Histone Markers	0.908908699	0.250907295	0.87026413
Histone Markers	0.907283327	0.501378638	0.919737217
Histone Markers	0.907162423	0.050139087	0.778059895
Histone Markers	0.94277526	0.336043649	0.800056886
